"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Feb 19 12:38:16 IST 2023","Sun Feb 19 12:38:23 IST 2023","6981"," Footage | Search term | Existence and sorting m","","","","","Verify: 70% of the returned clips per search term exist in data set | green energy",""
"passed","Sun Feb 19 12:36:59 IST 2023","Sun Feb 19 12:37:08 IST 2023","8393"," Footage | Search term | Existence and sorting m","","","","","Verify: 70% of the returned clips per search term exist in data set | funny animals",""
"passed","Sun Feb 19 12:35:45 IST 2023","Sun Feb 19 12:36:13 IST 2023","27776"," Footage | Search term | Existence and sorting m","","","","","Verify: 70% of the returned clips per search term exist in data set | explore",""
"failed","Sun Feb 19 12:43:14 IST 2023","Sun Feb 19 12:43:22 IST 2023","8808"," Footage | Search term | Existence and sorting m","","","","","Verify: 70% of the returned clips per search term exist in data set | trippy",""
"passed","Sun Feb 19 12:35:02 IST 2023","Sun Feb 19 12:35:02 IST 2023","598"," Footage | Search term | Existence and sorting m","","","","","Verify: 70% of the returned clips per search term exist in data set | crowd music street",""
"passed","Sun Feb 19 12:34:35 IST 2023","Sun Feb 19 12:34:38 IST 2023","3111"," Footage | Search term | Existence and sorting m","","","","","Verify: 70% of the returned clips per search term exist in data set | 3d printer",""
"passed","Sun Feb 19 12:34:56 IST 2023","Sun Feb 19 12:34:57 IST 2023","1527"," Footage | Search term | Existence and sorting m","","","","","Verify: 70% of the returned clips per search term exist in data set | conspiracy",""
"passed","Sun Feb 19 12:38:41 IST 2023","Sun Feb 19 12:38:48 IST 2023","7042"," Footage | Search term | Existence and sorting m","","","","","Verify: 70% of the returned clips per search term exist in data set | joshua tree",""
"failed","Sun Feb 19 12:35:14 IST 2023","Sun Feb 19 12:35:24 IST 2023","9294"," Footage | Search term | Existence and sorting m","","","","","Verify: 70% of the returned clips per search term exist in data set | dust particles",""
"passed","Sun Feb 19 12:34:38 IST 2023","Sun Feb 19 12:34:42 IST 2023","4294"," Footage | Search term | Existence and sorting m","","","","","Verify: 70% of the returned clips per search term exist in data set | adventure",""
"passed","Sun Feb 19 12:40:55 IST 2023","Sun Feb 19 12:41:05 IST 2023","9749"," Footage | Search term | Existence and sorting m","","","","","Verify: 70% of the returned clips per search term exist in data set | sun moving out of solar eclipse",""
"passed","Sun Feb 19 12:35:06 IST 2023","Sun Feb 19 12:35:11 IST 2023","4116"," Footage | Search term | Existence and sorting m","","","","","Verify: 70% of the returned clips per search term exist in data set | diversity",""
"passed","Sun Feb 19 12:39:37 IST 2023","Sun Feb 19 12:39:43 IST 2023","5665"," Footage | Search term | Existence and sorting m","","","","","Verify: 70% of the returned clips per search term exist in data set | problem solving",""
"passed","Sun Feb 19 12:34:47 IST 2023","Sun Feb 19 12:34:52 IST 2023","4504"," Footage | Search term | Existence and sorting m","","","","","Verify: 70% of the returned clips per search term exist in data set | color explosion",""
"passed","Sun Feb 19 12:39:17 IST 2023","Sun Feb 19 12:39:27 IST 2023","9973"," Footage | Search term | Existence and sorting m","","","","","Verify: 70% of the returned clips per search term exist in data set | plant growing",""
"passed","Sun Feb 19 12:44:09 IST 2023","Sun Feb 19 12:44:09 IST 2023","161"," Footage | Search term | Existence and sorting m","","","","","Verify: Empty results returned | bad words",""
"failed","Sun Feb 19 12:41:20 IST 2023","Sun Feb 19 12:41:26 IST 2023","5803"," Footage | Search term | Existence and sorting m","","","","","Verify: 70% of the returned clips per search term exist in data set | temperature weather data mobile customer",""
